"key","English","Chinese","Spanish","French","Japanese","Russian"
"Poland","","波兰","Polonia","Pologne","ポーランド","Польша"
"CommiePoland","Communist Poland","波兰（华约）","Polonia (WP)","Pologne (WP)","ポーランド (共産)","Польша (коммунист)"
"RepublicanSpain","Republican Spain","社会主义西班牙","RepublicanoEspaña","RépublicainEspagne","社会主義スペイン","РеспубликанскаяИспания"
"FascistSpain","Fascist Spain","法西斯西班牙","España fascista","Espagne fasciste","ファシストスペイン","Фашистская испания"
"Finland","","芬兰","Finlandia","Finlande","フィンランド","Финляндия"
"Bulgaria","","保加利亚","Bulgaria","Bulgarie","ブルガリア","Болгария"
"Romania","","罗马尼亚","Rumania","Roumanie","ルーマニア","Румыния"
"Hungary","","匈牙利","Hungría","Hongrie","ハンガリー","Венгрия"
"Yugoslavia","","南斯拉夫","Yugoslavia","Yougoslavie","ユーゴスラビア","Югославия"
"Greece","","希腊","Grecia","Grèce","ギリシャ","Греция"
"Italy","","意大利","Italia","Italie","イタリア","Италия"
"ROC","","中华民国","República de China","ROC","中華民国","ROC"
"PRC","Chinese Soviet","中华苏维埃共和国","Soviético chino","Soviétique chinois","中華ソビエト","Китайский советский"
"PuppetROC","Puppet ROC","伪中华民国","Marioneta china","Chine de marionnettes","親日中国","Марионеточный Китай"
"Puppet China","","伪中华民国","Marioneta china","Chine de marionnettes","親日中国","Марионеточный Китай"
"Japan","","日本","Japón","Japon","日本","Япония"
"Japan2","Japan 2","日本2","Japón2","Japon2","日本2","Япония2"
"Manchukuo","","满洲国","Manchukuo","Mandchoukouo","満州国","Маньчжоу-Го"
"Mengkukuo","","蒙疆","Mengkukuo","Mengkukuo","蒙古聯","Mengkukuo"
"Serbia","","塞尔维亚","Serbia","Serbie","セルビア","Сербия"
"Croatia","","克罗地亚","Croacia","Croatie","クロアチア","Хорватия"
"Denmark","","丹麦","Dinamarca","Danemark","デンマーク","Дания"
"Norway","","挪威","Noruega","Norvège","ノルウェー","Норвегия"
"Belgium","","比利时","Bélgica","Belgique","ベルギー","Бельгия"
"Netherlands","","荷兰","Países Bajos","Pays-Bas","オランダ","Нидерланды"
"France","","法国","Francia","France","フランス","Франция"
"UK","","英国","Reino Unido","Royaume-Uni","イギリス","Великобритания"
"Great Britain","","英国","Gran Bretaña","Grande Bretagne","イギリス","Великобритания"
"NeutralUK","Neutral UK","中立英国","Neutro","NeutralUK","ニュートラルブリテン","Нейтральный"
"NeutralFrance","Neutral France","中立法国","Neutral Francia","NeutreFrance","ニュートラルフランス","Нейтральный"
"Thailand","","泰国","Tailandia","Thaïlande","タイ","Таиланд"
"NatoTurkey","NATO Turkey","北约土耳其","Nato Turquía","Nato Turquie","NATOトルコ","НАТО Турция"
"India","","印度","India","Inde","インド","Индия"
"NatoIndia","NATO India","北约印度","NatoIndia","NatoIndia","NATOインド","НАТОИндия"
"SaudiArabia","Saudi Arabia","沙特阿拉伯","Arabia Saudita","Arabie Saoudite","サウジアラビア","Саудовская Аравия"
"Pakistan","","巴基斯坦","Pakistán","Pakistan","パキスタン","Пакистан"
"USA","United States","美国","Estados Unidos","États Unis","アメリカ","Соединенные Штаты Америки"
"United States","","美国","Estados Unidos","États Unis","アメリカ","Соединенные Штаты"
"Luxembourg","","卢森堡","Luxemburgo","Luxembourg","ルクセンブルク","Люксембург"
"Portugal","","葡萄牙","Portugal","le Portugal","ポルトガル","Португалия"
"NeutralSpain","Neutral Spain","中立西班牙","NeutralEspaña","NeutreEspagne","ニュートラルスペイン","Нейтрально: Испания"
"Switzerland","","瑞士","Suiza","Suisse","スイス","Швейцария"
"Sweden","","瑞典","Suecia","Suède","スウェーデン","Швеция"
"Ireland","","爱尔兰","Irlanda","Irlande","アイルランド","Ирландия"
"Lithuania","","立陶宛","Lituania","Lituanie","リトアニア","Литва"
"Latvia","","拉脱维亚","Letonia","Lettonie","ラトビア","Латвия"
"Estonia","","爱沙尼亚","Estonia","Estonie","エストニア","Эстония"
"HomeArmyPoland","Home Army Poland","波兰起义军","Inicio Ejército Polonia","Accueil Armée Pologne","ポーランドの反乱軍","На главную Армия Польша"
"Turkey","","土耳其","pavo","dinde","七面鳥","индюк"
"Iran","","伊朗","Iran","L'Iran","イラン","Иран"
"Iraq","","伊拉克","Irak","Irak","イラク","Ирак"
"NeutralSoviet","Neutral Soviet Union","中立苏联","Neutral Soviético","Neutre Soviet","中立的なソビエト連邦","Нейтральный Советский"
"Afghanistan","","阿富汗","Afganistán","Afghanistan","アフガニスタン","Афганистан"
"Czechoslovakia","","捷克斯洛伐克","Checoslovaquia","Tchécoslovaquie","チェコスロバキア","Чехословакия"
"Slovakia","","斯洛伐克","Eslovaquia","Slovaquie","スロバキア","Словакия"
"Syria","","叙利亚","Siria","Syrie","シリア","Сирия"
"Phillipeans","","菲律宾","Filipenses","Phillipiens","フィリピン","Филиппийцы"
"ChineseSichuan","Sichuan Clique","四川军阀","ChinoSichuan","ChinoisSichuan","四川軍閥","КитайскийСычуань"
"Austria","","奥地利","Austria","L'Autriche","オーストリア","Австрия"
"--------- Custom Countries -------","","","","","",""
"Algeria","","阿尔及利亚","Argelia","Algérie","アルジェリア","Алжир"
"Qing","","清朝","","","清朝","Династия Цин"
"EU","","欧盟","","","欧盟","Евросоюз"
"Austria Hungary","","奥匈帝国","Austria Hungría","Autriche Hongrie","オーストリアハンガリー","Австрия Венгрия"
"Brunei","","文莱","Brunei","Brunéi","ブルネイ","Бруней"
"Burma","","缅甸","Birmania","Birmanie","ビルマ","Бирма"
"Cambodia","","柬埔寨","Camboya","Cambodge","カンボジア","Камбоджа"
"Canada (modern)","","加拿大（现代）","Canadá (moderno)","Canada (moderne)","カナダ（現代）","Канада (современный)"
"CSA (rebel)","","南方邦联（内战）","CSA (rebelde)","CSA (rebelle)","CSA（反逆者）","CSA (мятежник)"
"Dominican Republic","","多明尼加共和国","República Dominicana","République dominicaine","ドミニカ共和国","Доминиканская Респблика"
"Egypt (kingdom)","","埃及（王国）","Egipto (reino)","Egypte (royaume)","エジプト（王国）","Египет (королевство)"
"El Salvador","","萨尔瓦多","El Salvador","Le Salvador","エルサルバドル","Сальвадор"
"France (free)","","法国（自由）","Francia (gratis)","France (gratuit)","フランス（無料）","Франция (бесплатно)"
"France (vichy)","","法国（维希）","Francia (vichy)","France (Vichy)","フランス（ヴィシー）","Франция (виши)"
"Germany (imperial)","","德国（帝国）","Alemania (imperial)","Allemagne (impériale)","ドイツ（帝国）","Германия (имперская)"
"Germany (modern)","","德国（现代）","Alemania (moderna)","Allemagne (moderne)","ドイツ（現代）","Германия (современная)"
"Ghana","","加纳","Ghana","Ghana","ガーナ","Гана"
"Iceland","","冰岛","Islandia","Islande","アイスランド","Исландия"
"Japan (modern)","","日本（现代）","Japón (moderno)","Japon (moderne)","日本（現代）","Япония (современный)"
"Lebanon","","黎巴嫩","Líbano","Liban","レバノン","Ливан"
"Libya","","利比亚","Libia","Libye","リビア","Ливия"
"Morocco","","摩洛哥","Marruecos","Maroc","モロッコ","Марокко"
"Namibia","","纳米比亚","Namibia","Namibie","ナミビア","Намибия"
"Nepal","","尼泊尔","Nepal","Népal","ネパール","Непал"
"Nicaragua","","尼加拉瓜","Nicaragua","Nicaragua","ニカラグア","Никарагуа"
"Nigeria","","尼日利亚","Nigeria","Nigeria","ナイジェリア","Нигерия"
"Palestine","","巴勒斯坦","Palestina","Palestine","パレスチナ","Палестина"
"Panama","","巴拿马","Panamá","Panama","パナマ","Панама"
"Russia (imperial)","","俄罗斯（帝国）","Rusia (imperial)","Russie (impériale)","ロシア（帝国）","Россия (имперская)"
"Russia (modern)","","俄罗斯（现代）","Rusia (moderna)","Russie (moderne)","ロシア（現代）","Россия (современная)"
"Soviet Union (1955)","","苏联（1955）","Unión Soviética (1955)","Union soviétique (1955)","ソビエト連邦（1955）","Советский Союз (1955)"
"USA (civil war)","","美国（内战）","Estados Unidos (guerra civil)","États-Unis (guerre civile)","アメリカ（南北戦争）","США (гражданская война)"
"Venezuela","","委内瑞拉","Venezuela","Venezuela","ベネズエラ","Венесуэла"
"African Union","","非洲联盟","Unión Africana","Union Africaine","アフリカ連合","Африканский союз"
"Angola","","安哥拉","Angola","Angola","アンゴラ","Ангола"
"Azerbaijan","","阿塞拜疆","Azerbaiyán","Azerbaïdjan","アゼルバイジャン","Азербайджан"
"Bahrain","Qatar","卡塔尔","Qatar","Qatar","カタール","Катар"
"Belarus","","白俄罗斯","Bielorrusia","Biélorussie","ベラルーシ","Беларусь"
"Benin","","贝宁","Benin","Bénin","ベナン","Бенин"
"Bhutan","","不丹","Bután","Bhoutan","ブータン","Бутан"
"Bolivia","","玻利维亚","Bolivia","Bolivie","ボリビア","Боливия"
"Botswana","","博茨瓦纳","Botswana","Botswana","ボツワナ","Ботсвана"
"Burkino Faso","","布基诺法索","Burkino Faso","Burkina Faso","ブルキナファソ","Буркино Фасо"
"Central African Republic","","中非共和国","República Centroafricana","République centrafricaine","中央アフリカ共和国","Центрально-Африканская Республика"
"Chad","","乍得","Chad","Tchad","チャド","Чад"
"Congo","","刚果","Congo","Congolais","コンゴ","Конго"
"Costa Rica","","哥斯达黎加","Costa Rica","Costa Rica","コスタリカ","Коста-Рика"
"Cyprus","","塞浦路斯","Chipre","Chypre","キプロス","Кипр"
"Djibouti","","吉布提","Djibouti","Djibouti","ジブチ","Джибути"
"Dutch (old)","","荷兰语（旧）","Holandés (antiguo)","Néerlandais (ancien)","オランダ語（旧）","Голландский (старый)"
"Ecuador","","厄瓜多尔","Ecuador","Équateur","エクアドル","Эквадор"
"Equatorial Guinea","","赤道几内亚","Guinea Ecuatorial","Guinée Équatoriale","赤道ギニア","Экваториальная Гвинея"
"Eswanti","","埃斯旺蒂","Eswanti","Eswanti","エスワンティ","Eswanti"
"Etitrea","","厄立特里亚","Etitrea","Étitrea","エティトリア","Etitrea"
"Gabon","","加蓬","Gabón","Gabon","ガボン","Габон"
"Gambia","","冈比亚","Gambia","Gambie","ガンビア","Гамбия"
"Guinea-Bissau","","几内亚比绍","Guinea-Bissau","Guinée-Bissau","ギニアビサウ","Гвинея-Бисау"
"Haiti","","海地","Haití","Haïti","ハイチ","Гаити"
"India (colonial)","","印度（殖民地）","India (colonial)","Inde (coloniale)","インド（植民地時代）","Индия (колониальная)"
"Ivory Coast","","象牙海岸","Costa de Marfil","Côte d'Ivoire","コートジボワール","Кот-д'Ивуар"
"Jamaica","","牙买加","Jamaica","Jamaïque","ジャマイカ","Ямайка"
"Jordan","","约旦","Jordán","Jordan","ヨルダン","Иордания"
"Kenya","","肯尼亚","Kenia","Kenya","ケニア","Кения"
"Kuwait","","科威特","Kuwait","Koweit","クウェート","Кувейт"
"Laos","","老挝","Laos","Laos","ラオス","Лаос"
"Malawi","","马拉维","Malawi","Malawi","マラウイ","Малави"
"Mauritania","","毛里塔尼亚","Mauritania","Mauritanie","モーリタニア","Мавритания"
"Montenegro","","黑山","Montenegro","Monténégro","モンテネグロ","Черногория"
"Niger","","尼日尔","Níger","Niger","ニジェール","Нигер"
"Northern Cyprus","","北塞浦路斯","El norte de Chipre","Chypre du Nord","北キプロス","Северный Кипр"
"Northern Macedonia","","北马其顿","Macedonia del Norte","Macédoine du Nord","マケドニア北部","Северная Македония"
"Oman","","阿曼","Omán","Oman","オマーン","Оман"
"Papa New Guinea","","巴巴新几内亚","Papa Nueva Guinea","Papouasie-Nouvelle-Guinée","パプアニューギニア","Папа Новая Гвинея"
"Paraguay","","巴拉圭","Paraguay","Paraguay","パラグアイ","Парагвай"
"Peru","","秘鲁","Perú","Pérou","ペルー","Перу"
"Rwanda","","卢旺达","Ruanda","Rwanda","ルワンダ","Руанда"
"Senegal","","塞内加尔","Senegal","Sénégal","セネガル","Сенегал"
"Sierra Leon","","塞拉利昂","Sierra leon","Sierra Leon","シエラレオネ","Сьерра-Леон"
"Slovenia","","斯洛文尼亚","Eslovenia","Slovénie","スロベニア","Словения"
"South Africa","","南非","Sudáfrica","Afrique du Sud","南アフリカ","Южная Африка"
"South Sudan","","南苏丹","Sudán del Sur","Soudan du sud","南スーダン","южный Судан"
"Spain (modern)","","西班牙（现代）","España (moderna)","Espagne (moderne)","スペイン（現代）","Испания (современная)"
"Sri Lanka","","斯里兰卡","Sri Lanka","Sri Lanka","スリランカ","Шри-Ланка"
"Suriname","","苏里南","Surinam","Surinam","スリナム","Суринам"
"Syria (modern)","","叙利亚（现代）","Siria (moderna)","Syrie (moderne)","シリア（現代）","Сирия (современная)"
"Tajikistan","","塔吉克斯坦","Tayikistán","Tadjikistan","タジキスタン","Таджикистан"
"Tanzania","","坦桑尼亚","Tanzania","Tanzanie","タンザニア","Танзания"
"Timor Leste","","东帝汶","Timor Leste","Timor oriental","東ティモール","Восточный Тимор"
"Togo","","多哥","Ir","Aller","トーゴ","Идти"
"Tunisia","","突尼斯","Túnez","Tunisie","チュニジア","Тунис"
"Tuvan People's Republic","","图瓦人民共和国","República Popular de Tuvan","République populaire de Touva","トゥヴァ人民共和国","Тувинская Народная Республика"
"UAE","","阿联酋","Emiratos Árabes Unidos","Émirats arabes unis","アラブ首長国連邦","ОАЭ"
"Uganda","","乌干达","Uganda","Ouganda","ウガンダ","Уганда"
"Ukraine","","乌克兰","Ucrania","Ukraine","ウクライナ","Украина"
"UN","","联合国","Naciones Unidas","ONU","国連","ООН"
"Uzbekistan","","乌兹别克斯坦","Uzbekistan","Ouzbékistan","ウズベキスタン","Узбекистан"
"Yemen","","也门","Yemen","Yémen","イエメン","Йемен"
"Zambia","","赞比亚","Zambia","Zambie","ザンビア","Замбия"
"Zimbabwe","","津巴布韦","Zimbabue","Zimbabwe","ジンバブエ","Зимбабве"
"Bosnia","","波斯尼亚","Bosnia","Bosnie","ボスニア","Босния"
"Cameroon","","喀麦隆","Camerún","Cameroun","カメルーン","Камерун"
"Cape Verde","","佛得角","Cabo Verde","Cap-Vert","カーボベルデ","Кабо-Верде"
"Comoros","","科摩罗","Comoras","Comores","コモロ","Коморские острова"
"England","","英国","Inglaterra","Angleterre","イングランド","Англия"
"Fiji","","斐济","Fiyi","Fidji","フィジー","Фиджи"
"Grenada","","格林纳达","Granada","Grenade","グレナダ","Гренада"
"Kazakhstan","","哈萨克斯坦","Kazajstán","Kazakhstan","カザフスタン","Казахстан"
"Kingdom Of Bulgaria","","保加利亚王国","Reino de Bulgaria","Royaume de Bulgarie","ブルガリア王国","Королевство Болгарии"
"Kingdom Of Greece","","希腊王国","Reino de Grecia","Royaume de Grèce","ギリシャ王国","Королевство Греции"
"Kiribati","","基里巴斯","Kiribati","Kiribati","キリバス","Кирибати"
"Liechtenstein","","列支敦士登","Liechtenstein","Liechtenstein","リヒテンシュタイン","Лихтенштейн"
"Malta","","马耳他","Malta","Malte","マルタ","Мальта"
"Marshall Islands","","马绍尔群岛","Islas Marshall","Iles Marshall","マーシャル諸島","Маршалловы острова"
"Mauritus","","毛里求斯","Mauritus","Maurice","モーリシャス","Мавритус"
"Micronesia","","密克罗尼西亚","Micronesia","Micronésie","ミクロネシア","Микронезия"
"Monaco","","摩纳哥","Mónaco","Monaco","モナコ","Монако"
"Nauru","","瑙鲁","Nauru","Nauru","ナウル","Науру"
"Northern Ireland","","北爱尔兰","Irlanda del Norte","Irlande du Nord","北アイルランド","Северная Ирландия"
"Ottoman Empire","","奥斯曼帝国","imperio Otomano","Empire ottoman","オスマン帝国","Османская империя"
"Palau","","帕劳","Palau","Palaos","パラオ","Палау"
"Saint Kitts and Nevis","","圣基茨和尼维斯","Saint Kitts y Nevis","Saint-Christophe-et-Niévès","セントクリストファーネイビス","Сент-Китс и Невис"
"Saint Lucia","","圣卢西亚","Santa Lucía","Sainte-Lucie","セントルシア","Санкт-Люсия"
"Saint Vincent and Grenadines","","圣文森特和格林纳丁斯","San Vicente y las Granadinas","Saint-Vincent-et-les Grenadines","セントビンセントおよびグレナディーン諸島","Сент-Винсент и Гренадины"
"Samoa","","萨摩亚","Samoa","Samoa","サモア","Самоа"
"San Marino","","圣马力诺","San Marino","Saint Marin","サンマリノ","Сан-Марино"
"Sao Tome and Principe","","圣多美和普林西比","Santo Tomé y Príncipe","Sao Tomé et Principe","サントメ・プリンシペ","Сан-Томе и Принсипи"
"Scotland","","苏格兰","Escocia","Écosse","スコットランド","Шотландия"
"Seychelles","","塞舌尔","Seychelles","les Seychelles","セイシェル","Сейшельские острова"
"Solomon","","所罗门","Salomón","Salomon","ソロモン","Соломон"
"Sudan","","苏丹","Sudán","Soudan","スーダン","Судан"
"Taliban","","塔利班","Talibanes","Talibans","タリバン","Талибан"
"Tonga","","汤加","Tonga","Tonga","トンガ","Тонга"
"Trinidad And Tobago","","特立尼达和多巴哥","Trinidad y Tobago","Trinité-et-Tobago","トリニダード・トバゴ","Тринидад и Тобаго"
"Vanuatu","","瓦努阿图","Vanuatu","Vanuatu","バヌアツ","Вануату"
"Vatican City","","梵蒂冈城","Ciudad del Vaticano","Cité du Vatican","バチカン市","Ватикан"
"Wales","","威尔士","Gales","Pays de Galles","ウェールズ","Уэльс"
"Antigua","","安提瓜","Antigua","Antigua","アンティグア","Антигуа"
"Bahamas","","巴哈马","Bahamas","Bahamas","バハマ","Багамы"
"Bangladesh","","孟加拉国","Bangladesh","Bangladesh","バングラデシュ","Бангладеш"
"Barbados","","巴巴多斯","Barbados","Barbade","バルバドス","Барбадос"
"Alash Autonomy","","阿拉什自治","Autonomía de Alash","Autonomie d'Alash","アラシュ自治国","Алашская Автономия"
"Asakura clan","","朝仓一族","Clan Asakura","Clan Asakura","朝倉氏","Клан Асакура"
"Ayutthaya Kingdom","","大城王国","Reino de Ayutthaya","Royaume d'Ayutthaya","アユタヤ王朝","Королевство Аюттхая"
"Azai clan","","浅井氏族","Clan Azai","Clan Azaï","浅井氏","Клан Азаи"
"Bavaria","","巴伐利亚","Baviera","Bavière","バイエルン","Бавария"
"California","","加利福尼亚州","California","Californie","カリフォルニア","Калифорния"
"Cambodia (Alternate​)","","柬埔寨（候补）","Camboya (alternativo)","Cambodge (suppléant)","カンボジア（代替）","Камбоджа (альтернативный)"
"Cao Wei","","曹伟","Cao Wei","Cao Wei","魏","Цао Вэй"
"Chetniks​","","切特尼克斯","Chetniks","Tchetniks","チェトニック","Четники"
"Chōshū Domain","","长州域","Dominio Chōshū","Domaine de Chōshū","長州藩","Домен Тёсю"
"Corsican Republic","","科西嘉共和国","República de corsa","République Corse","コルシカ共和国","Корсиканская Республика"
"County of Flanders","","法兰德斯县","Condado de Flandes","Comté de Flandre","フランドル伯領","Графство Фландрия"
"Date clan","","伊达族","Clan de citas","Clan de rendez-vous","伊達氏","Дата клана"
"Duchy of Brabant","","布拉班特公国","Ducado de Brabante","Duché de Brabant","ブラバント公国","Герцогство Брабант"
"Duchy of Nassau","","拿骚公国","Ducado de Nassau","Duché de Nassau","ナッサウ公国","Герцогство Нассау"
"Eastern Wu","","东吴","Wu oriental","Wu oriental","呉東部","Восточный Ву"
"Emirate of Cyrenaica","","昔兰尼加酋长国","Emirato de Cyrenaica","Emirat de Cyrénaïque","キレナイカ首長国","Эмират Киренаика"
"First Galactic Empire","","第一银河帝国","Primer Imperio Galáctico","Premier Empire Galactique","最初の銀河帝国","Первая Галактическая Империя"
"Florentine Republic","","佛罗伦萨共和国","República florentina","République florentine","フィレンツェ共和国","Флорентийская Республика"
"Frankish Empire","","法兰克帝国","Imperio franco","Empire franc","フランク帝国","Франкская Империя"
"Free Planets Alliance","","自由行星联盟","Alianza de planetas libres","Alliance des planètes libres","フリープラネットアライアンス","Альянс свободных планет"
"Fujiwara clan","","藤原氏","Clan fujiwara","Clan Fujiwara","藤原氏","Клан Фудзивара"
"Goldenbaum Empire","","金鲍姆帝国","Imperio Goldenbaum","Empire d'orbaum","ゴールデンバウム帝国","Империя Гольденбаум"
"Hosokawa​ clan","","细川氏族","Clan Hosokawa","clan Hosokawa","細川氏","Клан Хосокава"
"Ichijō family","","一城家","Familia Ichijō","famille Ichijô","一条家","Семья Ичидзё"
"Imamate of Oman (1913–1957)","","阿曼的伊玛目 (1913–1957)","Imamato de Omán (1913-1957)","Imamat d'Oman (1913-1957)","オマーンのイマーメート（1913–1957）","Имамат Омана (1913–1957)"
"Independent Macedonia (1944)","","独立的马其顿 (1944)","Macedonia Independiente (1944)","Macédoine indépendante (1944)","独立したマケドニア（1944）","Независимая Македония (1944)"
"Iron Guard","","钢铁卫士","Guardia de hierro","Garde de fer","鉄衛団","Железный гвардеец"
"Ishida Mitsunari​ (Personal Emblem)​","","石田三成（个人徽章）","Ishida Mitsunari (emblema personal)","Ishida Mitsunari​ (emblème personnel)​","石田三成（パーソナルエンブレム）","Исида Мицунари (личная эмблема)"
"Kachin Independence Army","","克钦独立军","Ejército de la Independencia de Kachin","Armée de l'indépendance kachin","カチン独立軍","Армия независимости Качина"
"Karen National Liberation Army","","克伦民族解放军","Ejército de Liberación Nacional de Karen","Armée de libération nationale Karen","カレン民族解放軍","Каренская национально-освободительная армия"
"Kingdom of Burundi","","布隆迪王国","Reino de Burundi","Royaume du Burundi","ブルンジ王国","Королевство Бурунди"
"Kingdom of Cochin","","科钦王国","Reino de Cochin","Royaume de Cochin","コーチン王国","Королевство Кочин"
"Kingdom of Elleore","","埃利奥王国","Reino de Elleore","Royaume d'Elélore","エレール王国","Королевство Эллеор"
"Kingdom of Laos (1953–1975)","","老挝王国（1953-1975）","Reino de Laos (1953-1975)","Royaume du Laos (1953-1975)","ラオス王国（1953–1975）","Королевство Лаос (1953–1975)"
"Kingdom of Lundy","","伦迪王国","Reino de Lundy","Royaume de Lundy","ランディ王国","Королевство Ланди"
"Kingdom of Talossa","","塔洛萨王国","Reino de Talossa","Royaume de Talossa","タロッサ王国","Королевство Талосса"
"Kingdom of Tavolara","","塔沃拉拉王国","Reino de Tavolara","Royaume de Tavolara","タボララ王国","Королевство Таволара"
"Kingdom of Württemberg (Coat of arms)​","","符腾堡王国（国徽）","Reino de Württemberg (escudo de armas)","Royaume de Wurtemberg (armoiries)​","ヴュルテンベルク王国（紋章）","Королевство Вюртемберг (герб)"
"Konoe family","","近卫家族","Familia konoe","La famille Konoé","近衛家","Семья Коноэ"
"Kujō family","","九条家","Familia Kujō","famille Kujo","九条家","Семья Кудзё"
"Lokot Autonomy","","洛科特自治","Autonomía Lokot","Lokot Autonomie","ロコト自治","Локотская Автономия"
"Maeda clan","","前田家","Clan maeda","clan Maeda","前田氏","Клан Маэда"
"Malta (Civil ensign)","","马耳他（民事旗）","Malta (enseña civil)","Malte (enseigne civile)","マルタ（商船旗）","Мальта (гражданский прапорщик)"
"Maryland","","马里兰州","Maryland","Maryland","メリーランド","Мэриленд"
"Minamoto clan","","源氏","Clan Minamoto","Clan Minamoto","源氏","Клан Минамото"
"Nijō family","","二条家","Familia Nijō","la famille Nijo","二条家","Семья Нидзё"
"Oda clan","","织田氏","Clan Oda","clan Oda","織田氏","Клан Ода"
