"key","English","Chinese","Spanish","French","Japanese","Russian"
"Munich","","慕尼黑","Munich","Munich","ミュンヘン","Мюнхен"
"Leningrad","","勒宁格勒","Leningrado","Leningrad","レニングラード","Ленинград"
"Oslo","","奥斯陆","Oslo","Oslo","オスロ","Осло"
"Stockholm","","斯德哥尔摩","Estocolmo","Stockholm","ストックホルム","Стокгольм"
"Sevastapol","","塞瓦斯托波尔","Sevastapol","Sébastapol","セバストポール","Севастаполь"
"Budapest","","布达佩斯","Budapest","Budapest","ブダペスト","Будапешт"
"Istanbul","","伊斯坦布尔","Estanbul","Istanbul","イスタンブール","Стамбул"
"Ankara","","安卡拉","Ankara","Ankara","アンカラ","Анкара"
"Zurich","","苏黎世","Zúrich","Zurich","チューリッヒ","Цюрих"
"Riga","","里加","Riga","Riga","リガ","Рига"
"Kursk","","库尔斯克","Kursk","Koursk","クルスク","Курск"
"Bryansk","","不梁斯克","Bryansk","Briansk","ブルスク","Брянск"
"Donetsk","","顿涅茨克","Donetsk","Donetsk","ドネツク","Донецк"
"Voronezh","","窝若捏之","Voronezh","Voronej","Voronezh","Воронеж"
"Saratov","","萨拉托夫","Saratov","Saratov","サラトフ","Саратов"
"Polzin","","玻尔兹","Polzin","Polzin","ボルツ","Пользин"
"Konigsburg","","柯尼斯堡","Konigsburg","Konigsburg","ケーニヒスベルク","Кенигсбург"
"Calais","","家来","Calais","Calais","帰宅","Кале"
"Antwerp","","安特卫普","Amberes","Anvers","アントワープ","Антверпен"
"Leon","","里昂","León","Léon","リヨン","Леон"
"Rotterdam","","鹿特丹","Rotterdam","Rotterdam","ロッテルダム","Роттердам"
"Tobruk","","托布鲁克","Tobruk","Tobrouk","トブルク","Тобрук"
"Khalkhin Gol","","诺门坎","Khalkhin Gol","Khalkhin Gol","ノミンカン","Халхин-Гол"
"Harbin","","哈尔滨","Harbin","Harbin","ハービン","Харбин"
"Pearl Harbor","","珍珠港","Pearl Harbor","Pearl Harbor","真珠湾","Перл Харбор"
"Bruxeles","","布鲁塞尔","Bruxelles","Bruxeles","ブリュッセル","Брюссель"
"Palermo","","巴勒莫","Palermo","Palerme","パレルモ","Палермо"
"Marseille","","马赛","Marsella","Marseille","マルセイユ","Марсель"
"Sevilla","","塞维亚","Sevilla","Séville","セビア","Севилья"
"Toulouse","","图鲁斯","Toulouse","Toulouse","トゥールーズ","Тулуза"
"Casablanca","","卡萨布兰卡","Casablanca","Casablanca","カサブランカ","Касабланка"
"Tunis","","突尼斯","Túnez","Tunis","チュニジア","Тунис"
"Milan","","米兰","Milán","Milan","ミラノ","Милан"
"Nanning","","南宁","Nanning","Nanning","ナニング","Наньнин"
"Hanoi","","河内","Hanoi","Hanoï","ハノイ","Ханой"
"Hangzhou","","杭州","Hangzhou","Hangzhou","杭州","Ханчжоу"
"Suzhou","","苏州","Suzhou","Suzhou","蘇州","Сучжоу"
"Yangzhou","","扬州","Yangzhou","Yangzhou","楊州","Янчжоу"
"Ningbo","","宁波","Ningbo","Ningbo","ニンボ","Нинбо"
"Kaohsiung","","高雄","Kaohsiung","Kaohsiung","高雄","Гаосюн"
"Keelung","","基隆","Keelung","Keelung","キールン","Килунг"
"Taoyuan","","桃源","Taoyuan","Taoyuan","タオユアン","Таоюань"
"Hsinchu","","新竹","Hsinchu","Hsinchu","シンチュ","Синьчжу"
"Port Moresby","","摩尔茨比港","Port Moresby","Port Moresby","ポートモレスビー","Порт-Морсби"
"Guadalcanal","","挂打卡奈儿","Guadalcanal","Guadalcanal","カネルをぶらぶら","Гуадалканал"
"Nanchang","","南昌","Nanchang","Nanchang","南昌","Наньчан"
"Dieppe","","第聂伯河","Dieppe","Dieppe","ドニーパー","Dieppe"
"Seattle","","西雅图","Seattle","Seattle","シアトル","Сиэтл"
"New York City","","纽约市","Nueva York","La ville de New York","ニューヨーク市","Нью-Йорк"
"Boston","","波士顿","Bostón","Boston","ボストン","Бостон"
"Miami","","迈亚密","Miami","Miami","マイアミ","Майами"
"Washington D.C","","华盛顿首都","Washington DC","Washington DC","ワシントンキャピタル","Вашингтон"
"New Orleans","","新奥尔良","Nueva Orleans","La Nouvelle Orléans","ニューオーリンズ","Жители Нового Орлеана"
"Chicago","","芝加哥","Chicago","Chicago","シカゴ","Чикаго"
"Cleveland","","克利夫兰","Cleveland","Cleveland","クリーブランド","Кливленд"
"San Francisco","","旧京山","San Francisco","San Francisco","サンフランシスコ","Сан-Франциско"
"Los Angeles","","洛杉矶","los Angeles","Los Angeles","ロサンゼルス","Лос-Анджелес"
"Detroit","","底特律","Detroit","Détroit","デトロイト","Детройт"
"Ottawa","","渥太华","Ottawa","Ottawa","オタワ","Оттава"
"St. Louis","","圣路易斯","San Louis","Saint Louis","セントルイス","Святой Луи"
"Atlanta","","亚特兰大","Atlanta","Atlanta","アトランタ","Атланта"
"Vancouver","","温哥华","Vancouver","Vancouver","バンクーバー","Ванкувер"
"Toronto","","多伦多","Toronto","Toronto","トロント","Торонто"
"Dallas","","达拉斯","Dallas","Dallas","ダラス","Даллас"
"Orlando","","奥尔兰多","Orlando","Orlando","オーランド","Орландо"
"Las Vegas","","拉斯维加斯","Las Vegas","Las Vegas","ラスベガス","Лас Вегас"
"Königsburg","","柯尼斯堡","Königsburg","Königsburg","ケーニヒスベルク","Кенигсбург"
"Lublin","","卢布林","Lublin","Lublin","ルブリン","Люблин"
"Dresden","","德列斯扽","Dresde","Dresde","ドレスキン","Дрезден"
"Sevastopol","","塞瓦斯特波儿","Sebastopol","Sébastopol","セバストポル","Севастополь"
"Brest","","不列斯特","Brest","Brest","ブレスト","Брест"
"Rznev","","热勒夫","Rznev","Rznev","Gerlev","Рзнев"
"Anchorage","","安克雷奇","Anclaje","Ancrage","アンカレッジ","Анкоридж"
"Jerusalem","","耶路撒冷","Jerusalén","Jérusalem","エルサレム","Иерусалим"
"Hawaii","","夏威夷","Hawai","Hawaii","ハワイ","Гавайи"
"Mexico City","","墨西哥城","Ciudad de México","Mexico","メキシコシティ","Мехико"
"Washington","","华盛顿","Washington","Washington","ワシントン","Вашингтон"
"Jinan","","济南","Jinan","Jinan","ジナン","Цзинань"
"Xuzhou","","徐州","Xuzhou","Xuzhou","徐州","Сюйчжоу"
"Liaoning","","辽宁","Liaoning","Liaoning","遼寧","Ляонин"
"Hiroshima","","广岛","Hiroshima","Hiroshima","広島","Хиросима"
"Nagasaki","","长崎","Nagasaki","Nagasaki","長崎","Нагасаки"
"Osaka","","大阪","Osaka","Osaka","大阪","Осака"
"Seoul","","首尔","Seúl","Séoul","ソウル","Сеул"
"Vladivostok","","海参崴","Vladivostok","Vladivostok","ウラジヴォストク","Владивосток"
"Venice","","威尼斯","Venecia","Venise","ヴェネツィア","Венеция"
"Cologne","","科隆","Colonia","Eau de Cologne","ケルン","Кёльн"
"Vienna","","维也纳","Viena","Vienne","ウィーン","Вена"
"Frankfurt","","弗兰科夫","Frankfurt","Francfort","フランクオフ","Франкфурт"
"Yanan","","延安","Yanan","Yanan","やなん","Янан"
"Qingdao","","青岛","Qingdao","Qingdao","青島","Циндао"
"Shanghai","","上海","Llevar a la fuerza","Shanghai","上海","Шанхай"
"Nanking","","南京","Nanking","Nanking","南京","Нанкин"
"Nanjing","","南京","Nanjing","Nanjing","南京","Нанкин"
"Chongking","","重庆","Chongking","Chongking","重慶","Chongking"
"Chongqing","","重庆","Chongqing","Chongqing","重慶","Chongqing"
"Hong Kong","","香港","Hong Kong","Hong Kong","香港","Гонконг"
"Haikou","","海口","Haikou","Haikou","海口","Хайкоу"
"Taipei","","台北","Taipei","Taipei","台北","Тайбэй"
"Soeul","","首尔","Soeul","Soeul","ソウル","Soeul"
"Pyongyang","","平壤","Pyongyang","Pyongyang","平壌","Пхеньян"
"Shenyang","","沈阳","Shenyang","Shenyang","瀋陽","Шэньян"
"Changchun","","长春","Changchun","Changchun","長春","Чанчунь"
"Chita","","赤塔","Chita","Chita","知多","Чита"
"New Siberia","","新西伯利亚","Nueva siberia","Nouvelle Sibérie","ニューシベリア","Новая Сибирь"
"Kunming","","昆明","Kunming","Kunming","昆明","Куньмин"
"Guangzhou","","广州","Guangzhou","Guangzhou","広州","Гуанчжоу"
"Okinawa","","冲绳","Okinawa","Okinawa","沖縄","Окинава"
"Yokohama","","横滨","Yokohama","Yokohama","横浜","Иокогама"
"Tokyo","","东京","Tokio","Tokyo","東京","Токио"
"Sapporo","","札幌","Sapporo","Sapporo","札幌","Саппоро"
"Guilin","","桂林","Guilin","Guilin","桂林","Гуйлинь"
"Peking","","北平","Pekín","Pékin","北京","Пекин"
"Beijing","","北京","Pekín","Pékin","北京","Пекин"
"Wuhan","","武汉","Wuhan","Wuhan","武漢","Ухань"
"Gorki","","高尔基","Gorki","Gorki","ゴルキ","Горки"
"Orsha","","奥尔沙","Orsha","Orcha","オルシャ","Орша"
"Copenhagen","","哥本哈根","Copenhague","Copenhague","コペンハーゲン","Копенгаген"
"Dunkirk","","敦刻尔克","Dunkerque","Dunkerque","ダンケルク","Дюнкерк"
"Bordeaux","","波尔多","Burdeos","Bordeaux","ボルドー","Бордо"
"Vichy","","维希","Vichy","Vichy","ヴィシー","Виши"
"Lisbon","","里斯本","Lisboa","Lisbonne","リスボン","Лиссабон"
"Florence","","佛罗伦萨","Florencia","Florence","フィレンツェ","Флоренция"
"Poznan","","波兹南","Poznan","Pozna","ポズナン","Познань"
"Odessa","","敖德萨","Odessa","Odessa","オデッサ","Одесса"
"Ulanbataar","","乌兰巴托","Ulanbataar","Oulan-Bator","ウランバタール","Уланбатаар"
"Urumqi","","乌鲁木齐","Urumqi","Urumqi","ウルムチ","Урумчи"
"Macao","","澳门","Macao","Macao","マカオ","Макао"
"Manila","","马尼拉","Manila","Manille","マニラ","Манила"
"Jakarta","","雅加达","Jacarta","Jakarta","ジャカルタ","Джакарта"
"Bangkok","","曼谷","Bangkok","Bangkok","バンコク","Бангкок"
"New Delhi","","新德里","Nueva Delhi","New Delhi","ニューデリー","Нью-Дели"
"Mumbai","","孟买","Bombay","Bombay","ムンバイ","Мумбаи"
"Kolkata","","加尔各答","Calcuta","Calcutta","コルカタ","Калькутта"
"Yangon","","仰光","Yangon","Rangoun","ヤンゴン","Янгон"
"Tehran","","德黑兰","Teherán","Téhéran","テヘラン","Тегеран"
"Baghdad","","巴格达","Bagdad","Bagdad","バグダッド","Багдад"
"Riyadh","","利雅得","Riad","Riyad","リヤド","Эр-Рияд"
"Brisbane","","布里斯班","Brisbane","Brisbane","ブリスベン","Брисбен"
"Darwin","","达尔文","Darwin","Darwin","ダーウィン","Дарвин"
"Honolulu","","火奴鲁鲁","Honolulu","Honolulu","ホノルル","Гонолулу"
"Edmonton","","埃德蒙顿","Edmonton","Edmonton","エドモントン","Эдмонтон"
"Lhasa","","拉萨","Lhasa","Lhassa","ラサ","Лхаса"
"Gibraltar","","直布罗陀","Gibraltar","Gibraltar","ジブラルタル","Гибралтар"
"Strait of Gibraltar","","直布罗陀海峡","Estrecho de Gibraltar","détroit de Gibraltar","ジブラルタル海峡","Гибралтарский пролив"
"Algiers","","阿尔及尔","Argel","Alger","アルジェ","Алжир"
"Bilbao","","毕尔巴鄂","Bilbao","Bilbao","ビルバオ","Бильбао"
"Penghu","","澎湖","Penghu","Penghu","澎湖","Пэнху"
"Hualian","","华联","Hualian","Hualian","Hualian","Хуалянь"
"Taitung","","台东","Taitung","Taitung","台東","Тайдун"
"Tai-nan","","台南","Tai-nan","Taï-nan","大南","Тай-нань"
"Chia-i","","嘉义","Chia-i","Chia-i","チアイ","Чиа-и"
"Nantou","","南投","Nantou","Nantou","南投","Наньтоу"
"Taichung","","台中","Taichung","Taichung","台中","Тайчжун"
"Hengchun","","恒春","Hengchun","Hengchun","恒春","Hengchun"
"Green Island","","绿岛","Isla Verde","Île verte","グリーン島","Зеленый остров"
"Fengshan","","凤山","Fengshan","Fengshan","風山","Фэншань"
"Pingtung","","屏东","Pingtung","Pingtung","屏東","Пиндун"
"Fangliao","","芳寮","Fangliao","Fangliao","ファンリアオ","Fangliao"
"Hsin-ying","","新英","Hsin-ying","Hsin-ying","シンイン","Синь-Инь"
"Ilan","","宜兰","Ilan","Ilan","イラン","Илан"
"Kokoda","","科科达","Kokoda","Kokoda","ココダ","Кокода"
"Lae","","莱","Lae","Lae","レイ","Лаэ"
"Tulagi","","图拉吉","Tulagi","Tulagi","ツラギ","Тулаги"
"Rabaul","","拉包尔","Rabaul","Rabaul","ラバウル","Рабаул"
"Caen","","卡昂","Caen","Caen","カーン","Кан"
"Cherbourg","","瑟堡","Cherburgo","Cherbourg","チェルブール","Шербур"
"Le Havre","","勒阿弗尔","Le Havre","Le Havre","ルアーブル","Гавр"
"Bayeux","","贝叶","Bayeux","Bayeux","バイユー","Байе"
"Rouen","","鲁昂","Ruan","Rouen","ルーアン","Руан"
"Saint-Lô","","圣洛","Saint-Lô","Saint-Lô","サンロー","Сен-Ло"
"Portsmouth","","朴次茅斯","Portsmouth","Portsmouth","ポーツマス","Портсмут"
"Bournemouth","","伯恩茅斯","Bournemouth","Bornemouth","ボーンマス","Борнмут"
"Calgary","","卡尔加里","Calgary","Calgary","カルガリー","Калгари"
"Winnipeg","","温尼伯","Winnipeg","Winnipeg","ウィニペグ","Виннипег"
"Phoenix","","凤凰","Fénix","Phénix","フェニックス","Феникс"
"Houston","","休斯顿","Houston","Houston","ヒューストン","Хьюстон"
"Chihuahua","","吉娃娃","Chihuahua","Chihuahua","チワワ","Чихуахуа"
"Rostock","","罗斯托克","Rostock","Rostock","ロストック","Росток"
"Bialystok","","比亚韦斯托克","Bialystok","Bialystok","ビャウィストク","Белосток"
"Lviv","","利沃夫","Lviv","Lviv","リヴィウ","Львов"
"Lodz","","罗兹","Lodz","Lodz","ウッチ","Лодзь"
"Wilno","","维尔诺","Wilno","Wilno","ウィルノ","Вильно"
"Vilnius","","维尔纽斯","Vilna","Vilnius","ビリニュス","Вильнюс"
"Bratislava","","布拉迪斯拉发","Bratislava","Bratislava","ブラチスラバ","Братислава"
"Kosice","","科希策","Kosice","Kosice","コシツェ","Кошице"
"Cluj-Napoca","","克卢日-纳波卡","Cluj-Napoca","Cluj-Napoca","クルージュナポカ","Клуж-Напока"
"Wroclaw","","弗罗茨瓦夫","Wroclaw","Wroclawaw","ヴロツワフ","Вроцлав"
"Szczecin","","什切青","Szczecin","Szczecin","シュチェチン","Щецин"
"Talinn","","塔林","Talinn","Talinn","タリン","Талинн"
"Viipuri","","维普里","Viipuri","Viipuri","ヴィイプリ","Вийпури"
"Malikop","","马利科普","Malikop","Malikop","マリコップ","Маликоп"
"Rostov","","罗斯托夫","Rostov","Rostov","ロストフ","Ростов"
"Daugavpils","","陶格夫匹尔斯","Daugavpils","Daugavpils","ダウガフピルス","Даугавпилс"
"Novosissirsk","","新西西斯克","Novosissirsk","Novossisirsk","Novosissirsk","Новосисрск"
"Grozny","","格罗兹尼","Grozny","Grozny","グロズヌイ","Грозный"
"Izyum","","伊久姆","Izyum","Izyum","イジューム","Изюм"
"Moghalsk","","莫加尔斯克","Moghalsk","Moghalsk","モーガルスク","Могольск"
"Novgorod","","诺夫哥罗德","Novgorod","Novgorod","ノヴゴロド","Новгород"
"Kalinin","","加里宁","Kalinin","Kalinine","カリーニン","Калинин"
"Polovsk","","波洛夫斯克","Polovsk","Polovsk","ポロフスク","Половск"
"Orel","","奥利尔","Orel","Orel","オリョール","Орел"
"Gomel","","戈梅利","Gomel","Gomel","ホメリ","Гомель"
"Vitebsk","","维捷布斯克","Vitebsk","Vitebsk","ヴィテプスク","Витебск"
"Kalomma","","卡洛马","Kalomma","Kalomma","カロマ","Kalomma"
"Lubny","","卢布尼","Lubny","Lubny","ルブヌイ","Лубны"
"Tula","","图拉","Tula","Toula","トゥーラ","Тула"
"Pskov","","普斯科夫","Pskov","Pskov","プスコフ","Псков"
"Messina","","墨西拿","Messina","Messine","メッシーナ","Мессина"
"Potenza","","波坦察","Potenza","Potenza","ポテンツァ","Potenza"
"Calabria","","卡拉布里亚","Calabria","Calabre","カラブリア","Калабрия"
"Arnhem","","阿纳姆","Arnhem","Arnhem","アーネム","Арнем"
"Nijmegen","","奈梅亨","Nijmegen","Nimègue","ナイメーヘン","Неймеген"
"Eindhoven","","埃因霍温","Eindhoven","Eindhoven","アイントホーフェン","Эйндховен"
"Osterbeek","","奥斯特贝克","Osterbeek","Osterbeek","オーステルベーク","Остербек"
"Split","","分裂","Separar","Diviser","スプリット","Расколоть"
"Trieste","","的里雅斯特","Trieste","Trieste","トリエステ","Триест"
"Bari","","巴里","Bari","Bari","バーリ","Бари"
"Ancona","","安科纳","Ancona","Ancône","アンコーナ","Анкона"
"Tirana","","地拉那","Tirana","Tirana","ティラナ","Тирана"
"Skopje","","斯科普里","Skopje","Skopje","スコピエ","Скопье"
"Thessaloniki","","塞萨洛尼基","Salónica","Thessalonique","テッサロニキ","Салоники"
"Timisoara","","蒂米什瓦拉","Timisoara","Timisoara","ティミショアラ","Тимишоара"
"Larisa","","拉里萨","Larisa","Larissa","ラリサ","Лариса"
"Ljubljana","","卢布尔雅那","Liubliana","Ljubljana","リュブリャナ","Любляна"
"Pristina","","普里什蒂纳","Pristina","Pristina","プリシュティナ","Приштина"
"Podgorica","","波德戈里察","Podgorica","Podgorica","ポドゴリツァ","Подгорица"
"Novi Sad","","诺维萨德","Novi Sad","Novi triste","ノヴィサド","Нови-Сад"
"Niš","","尼什","Niš","Niš","ニシュ","Ниш"
"Zagreb","","萨格勒布","Zagreb","Zagreb","ザグレブ","Загреб"
"Mostar","","莫斯塔尔","Mostar","Mostar","モスタル","Мостар"
"Sarajevo","","萨拉热窝","Sarajevo","Sarajevo","サラエボ","Сараево"
"Banja Luka","","巴尼亚卢卡","Banja Luka","Banja Luka","バニャ・ルカ","Баня-Лука"
"Maribor","","马里博尔","Maribor","Maribor","マリボル","Марибор"
"Patras","","帕特雷","Patras","Patras","パトラス","Патры"
"Gorzow wielkopolski","","戈尔佐夫·维尔科波尔斯基","Gorzow wielkopolski","Gorzów wielkopolski","Gorzow wielkopolski","Gorzow wielkopolski"
"Leipzig","","莱比锡","Leipzig","Leipzig","ライプツィヒ","Лейпциг"
"Gibaltra","","吉巴尔特拉","Gibaltra","Gibaltra","ギバルトラ","Гибальтра"
"Oslu","","奥斯陆","Oslu","Oslu","Oslu","Ослу"
"Istanbu","","伊斯坦布","Istanbu","Istanbul","イスタンブール","Истанбу"
"Colonge","","科隆","Colonge","Colonge","コロンジ","Colonge"
"Nice","","好的","Lindo","Agréable","ニース","Хороший"
"Tolouse","","图卢兹","Tolouse","Toux","Tolouse","Tolouse"
"A Coruna","","拉科鲁尼亚","A Coruña","La Corogne","ア・コルーニャ","Ла-Корунья"
"Manhattan","","曼哈顿","Manhattan","Manhattan","マンハッタン","Манхэттен"
"Plymouth","","普利茅斯","Plymouth","Plymouth","プリマス","Плимут"
"Palerno","","巴勒诺","Palerno","Palerne","パレルノ","Палерно"
"Granada","","格拉纳达","Granada","Grenade","グラナダ","Гранада"
"Beligrade","","贝尔格莱德","Belígrado","Beligrade","ベリグラード","Beligrade"
"Thesilinki","","西林基","Thesilinki","Thesilinki","Thesilinki","Фесилинки"
